pathway	collection	comparison	method	source	rank_metric	ES	NES	pvalue	padj	FWER	size	output_label	report_side	source_file	rank_at_max	leading_edge	core_enrichment	direction	significant_fdr_0_25	significant_fdr_0_05
GOBP_KERATINIZATION	GO_BP	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.64295	-2.4791884	0	0	0	48	GSEA_ERpositive_vs_ERnegative_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	4104	tags=63%, list=23%, signal=81%		negative	TRUE	TRUE
GOBP_AXONEME_ASSEMBLY	GO_BP	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.60612375	2.4159818	0	0	0	53	GSEA_ERpositive_vs_ERnegative_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	3978	tags=58%, list=22%, signal=75%		positive	TRUE	TRUE
GOBP_INTRACILIARY_TRANSPORT	GO_BP	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.6470814	2.3851314	0	0	0	41	GSEA_ERpositive_vs_ERnegative_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	4209	tags=66%, list=23%, signal=86%		positive	TRUE	TRUE
GOBP_RRNA_PROCESSING	GO_BP	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.46585837	-2.3025157	0	0.00080126297	0.002	203	GSEA_ERpositive_vs_ERnegative_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	4172	tags=45%, list=23%, signal=58%		negative	TRUE	TRUE
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	GO_BP	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.70594895	-2.3004475	0	0.00089779845	0.003	22	GSEA_ERpositive_vs_ERnegative_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	3623	tags=68%, list=20%, signal=85%		negative	TRUE	TRUE
GOBP_RRNA_METABOLIC_PROCESS	GO_BP	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.44436243	-2.2674053	0	0.00096203433	0.004	247	GSEA_ERpositive_vs_ERnegative_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	4172	tags=44%, list=23%, signal=57%		negative	TRUE	TRUE
GOBP_DNA_REPLICATION_INITIATION	GO_BP	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.6483818	-2.3354356	0	0.0012018945	0.002	33	GSEA_ERpositive_vs_ERnegative_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	4425	tags=70%, list=24%, signal=92%		negative	TRUE	TRUE
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	GO_BP	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.49932402	-2.2465146	0	0.0012073154	0.007	96	GSEA_ERpositive_vs_ERnegative_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	5166	tags=52%, list=28%, signal=72%		negative	TRUE	TRUE
GOBP_POSITIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION	GO_BP	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.5240569	-2.2441804	0	0.0012077475	0.008	86	GSEA_ERpositive_vs_ERnegative_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	5601	tags=62%, list=31%, signal=89%		negative	TRUE	TRUE
GOBP_CHROMOSOME_SEGREGATION	GO_BP	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.42222893	-2.239846	0	0.0012101223	0.01	372	GSEA_ERpositive_vs_ERnegative_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	3062	tags=34%, list=17%, signal=40%		negative	TRUE	TRUE
GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GO_BP	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.68390954	-2.2297459	0	0.0013083623	0.013	23	GSEA_ERpositive_vs_ERnegative_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	1852	tags=57%, list=10%, signal=63%		negative	TRUE	TRUE
GOBP_KINETOCHORE_ORGANIZATION	GO_BP	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.66832167	-2.239944	0	0.0013445803	0.01	26	GSEA_ERpositive_vs_ERnegative_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	2279	tags=54%, list=13%, signal=62%		negative	TRUE	TRUE
GOBP_RIBOSOME_BIOGENESIS	GO_BP	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.42377922	-2.1943314	0	0.0013478377	0.019	282	GSEA_ERpositive_vs_ERnegative_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	4811	tags=44%, list=27%, signal=59%		negative	TRUE	TRUE
GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	GO_BP	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.6917077	-2.2136798	0	0.0013961958	0.015	21	GSEA_ERpositive_vs_ERnegative_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	1019	tags=48%, list=6%, signal=50%		negative	TRUE	TRUE
