pathway	collection	comparison	method	source	rank_metric	ES	NES	pvalue	padj	FWER	size	output_label	report_side	source_file	rank_at_max	leading_edge	core_enrichment	direction	significant_fdr_0_25	significant_fdr_0_05
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.6450689	3.2786171	0	0	0	182	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1509	tags=40%, list=8%, signal=43%		positive	TRUE	TRUE
GOBP_METAPHASE_CHROMOSOME_ALIGNMENT	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.6963346	3.1906483	0	0	0	93	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1050	tags=41%, list=6%, signal=43%		positive	TRUE	TRUE
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.59085894	3.1650085	0	0	0	281	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1509	tags=35%, list=8%, signal=37%		positive	TRUE	TRUE
GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.71434146	3.1218143	0	0	0	68	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1748	tags=51%, list=10%, signal=57%		positive	TRUE	TRUE
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.7700212	3.1184547	0	0	0	48	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1050	tags=52%, list=6%, signal=55%		positive	TRUE	TRUE
GOBP_SISTER_CHROMATID_SEGREGATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.60418224	3.1122892	0	0	0	219	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1163	tags=33%, list=6%, signal=35%		positive	TRUE	TRUE
GOBP_CHROMOSOME_LOCALIZATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.64984435	3.108977	0	0	0	109	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1050	tags=37%, list=6%, signal=39%		positive	TRUE	TRUE
GOBP_CHROMOSOME_SEPARATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.6806252	3.089945	0	0	0	84	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	2521	tags=54%, list=14%, signal=62%		positive	TRUE	TRUE
GOBP_DNA_TEMPLATED_DNA_REPLICATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.609026	2.981591	0	0	0	145	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	3419	tags=55%, list=19%, signal=67%		positive	TRUE	TRUE
GOBP_MITOTIC_NUCLEAR_DIVISION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.5525877	2.9698722	0	0	0	261	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1163	tags=31%, list=6%, signal=33%		positive	TRUE	TRUE
GOBP_CHROMOSOME_SEGREGATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.53656703	2.9503586	0	0	0	373	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1385	tags=31%, list=8%, signal=32%		positive	TRUE	TRUE
GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.6932612	2.9407883	0	0	0	61	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1748	tags=51%, list=10%, signal=56%		positive	TRUE	TRUE
GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.5975693	2.9296117	0	0	0	129	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1163	tags=34%, list=6%, signal=36%		positive	TRUE	TRUE
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.77708995	2.9087312	0	0	0	33	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	2521	tags=64%, list=14%, signal=74%		positive	TRUE	TRUE
GOBP_REGULATION_OF_SISTER_CHROMATID_SEGREGATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.6137041	2.8806021	0	0	0	107	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1124	tags=36%, list=6%, signal=38%		positive	TRUE	TRUE
GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.6207774	2.8608203	0	0	0	92	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	2863	tags=48%, list=16%, signal=56%		positive	TRUE	TRUE
GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.60587955	2.8546534	0	0	0	118	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1124	tags=36%, list=6%, signal=38%		positive	TRUE	TRUE
GOBP_CHROMOSOME_ORGANIZATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.5004057	2.84643	0	0	0	477	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	2521	tags=34%, list=14%, signal=38%		positive	TRUE	TRUE
GOBP_MITOTIC_SPINDLE_ORGANIZATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.5964459	2.8352888	0	0	0	120	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	928	tags=34%, list=5%, signal=36%		positive	TRUE	TRUE
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.55932075	2.8294709	0	0	0	177	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	2722	tags=43%, list=15%, signal=50%		positive	TRUE	TRUE
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.65332186	2.8088434	0	0	0	67	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1818	tags=48%, list=10%, signal=53%		positive	TRUE	TRUE
GOBP_DNA_REPLICATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.5151164	2.795271	0	0	0	270	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	3419	tags=47%, list=19%, signal=57%		positive	TRUE	TRUE
GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.68025655	2.788205	0	0	0	60	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	477	tags=37%, list=3%, signal=38%		positive	TRUE	TRUE
GOBP_ORGANELLE_FISSION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.4893808	2.785493	0	0	0	426	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	2548	tags=34%, list=14%, signal=39%		positive	TRUE	TRUE
GOBP_MITOTIC_SPINDLE_ASSEMBLY	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.6308364	2.7454631	0	0	0	67	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	477	tags=28%, list=3%, signal=29%		positive	TRUE	TRUE
