pathway	collection	comparison	method	source	rank_metric	ES	NES	pvalue	padj	FWER	size	output_label	report_side	source_file	rank_at_max	leading_edge	core_enrichment	direction	significant_fdr_0_25	significant_fdr_0_05
HALLMARK_E2F_TARGETS	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.728465	3.7095683	0	0	0	187	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	2034	tags=56%, list=11%, signal=63%		positive	TRUE	TRUE
HALLMARK_G2M_CHECKPOINT	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.6675501	3.4659383	0	0	0	183	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	1782	tags=50%, list=10%, signal=55%		positive	TRUE	TRUE
HALLMARK_MYC_TARGETS_V1	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.61772877	3.167722	0	0	0	187	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	4226	tags=63%, list=23%, signal=81%		positive	TRUE	TRUE
HALLMARK_MYC_TARGETS_V2	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.6640327	2.7673156	0	0	0	57	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	4602	tags=77%, list=25%, signal=103%		positive	TRUE	TRUE
HALLMARK_MTORC1_SIGNALING	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.4927477	2.5382164	0	0	0	191	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	3873	tags=50%, list=21%, signal=63%		positive	TRUE	TRUE
HALLMARK_DNA_REPAIR	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.4688881	2.2804985	0	0	0	139	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	4040	tags=47%, list=22%, signal=61%		positive	TRUE	TRUE
HALLMARK_UV_RESPONSE_DN	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.5245054	-2.2020912	0	0	0	136	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	4594	tags=53%, list=25%, signal=70%		negative	TRUE	TRUE
HALLMARK_ADIPOGENESIS	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.48413718	-2.128024	0	0	0	188	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	3027	tags=34%, list=17%, signal=40%		negative	TRUE	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.43884137	2.0823886	0	0	0	105	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	5534	tags=58%, list=30%, signal=83%		positive	TRUE	TRUE
HALLMARK_MYOGENESIS	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.47195655	-2.0713782	0	0	0	194	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	4923	tags=48%, list=27%, signal=66%		negative	TRUE	TRUE
