sample	correlation	sample_ordered	median_r	n_shared_samples	n_shared_features	n_features_used
TCGA-A8-A06Z-01	0.567512990080302	TCGA-A8-A06Z-01	0.233779438951853	637	149	146
TCGA-AR-A24K-01	0.545816801118354	TCGA-AR-A24K-01	0.233779438951853	637	149	146
TCGA-A8-A099-01	0.519189891355692	TCGA-A8-A099-01	0.233779438951853	637	149	146
TCGA-A8-A083-01	0.514174933081404	TCGA-A8-A083-01	0.233779438951853	637	149	146
TCGA-BH-A0E0-01	0.497246985954211	TCGA-BH-A0E0-01	0.233779438951853	637	149	146
TCGA-A1-A0SK-01	0.488620383227665	TCGA-A1-A0SK-01	0.233779438951853	637	149	146
TCGA-A8-A08A-01	0.482330029060646	TCGA-A8-A08A-01	0.233779438951853	637	149	146
TCGA-BH-A0E7-01	0.478264206945122	TCGA-BH-A0E7-01	0.233779438951853	637	149	146
TCGA-BH-A0HW-01	0.47669902052753	TCGA-BH-A0HW-01	0.233779438951853	637	149	146
TCGA-AO-A0J7-01	0.468949771689498	TCGA-AO-A0J7-01	0.233779438951853	637	149	146
TCGA-A8-A07Z-01	0.465913765379908	TCGA-A8-A07Z-01	0.233779438951853	637	149	146
TCGA-AO-A1KQ-01	0.46292902499799	TCGA-AO-A1KQ-01	0.233779438951853	637	149	146
TCGA-AO-A0J3-01	0.45894982970207	TCGA-AO-A0J3-01	0.233779438951853	637	149	146
TCGA-AR-A0TP-01	0.455985726643394	TCGA-AR-A0TP-01	0.233779438951853	637	149	146
TCGA-AN-A0G0-01	0.455853408911982	TCGA-AN-A0G0-01	0.233779438951853	637	149	146
TCGA-E9-A22G-01	0.452307342966371	TCGA-E9-A22G-01	0.233779438951853	637	149	146
TCGA-E2-A156-01	0.451833277896635	TCGA-E2-A156-01	0.233779438951853	637	149	146
TCGA-D8-A1JI-01	0.451494408091457	TCGA-D8-A1JI-01	0.233779438951853	637	149	146
TCGA-EW-A1J1-01	0.445526886906197	TCGA-EW-A1J1-01	0.233779438951853	637	149	146
TCGA-D8-A143-01	0.438584474885845	TCGA-D8-A143-01	0.233779438951853	637	149	146
TCGA-AN-A0AR-01	0.435720070817727	TCGA-AN-A0AR-01	0.233779438951853	637	149	146
