gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	gene_id	pvalue	padj	stat	layer	significant	direction	comparison	reference	contrast	method
ESR1	6.19545890833713	11.8288257692308	39.2156761951095	7.18307584965641e-187	1.30221982078421e-182	416.41311206161	ESR1	ESR1	7.18307584965641e-187	1.30221982078421e-182	39.2156761951095	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
AGR3	7.51012465629908	8.92288923076923	35.0019703463069	2.95398430942172e-162	2.67763907727531e-158	360.061731602713	AGR3	AGR3	2.95398430942172e-162	2.67763907727531e-158	35.0019703463069	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
CA12	4.2923401184246	12.1686466666667	30.8403551032583	2.663676171991e-137	1.60965951073416e-133	302.892283910745	CA12	CA12	2.663676171991e-137	1.60965951073416e-133	30.8403551032583	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
GPR77	3.33073122077729	5.90867948717949	30.1666127675099	3.17196052708519e-133	1.43761180988819e-129	293.552117307134	GPR77	GPR77	3.17196052708519e-133	1.43761180988819e-129	30.1666127675099	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
C6orf97	3.58663022337073	7.99484512820513	29.4528728085051	6.88324176656367e-129	2.49572579972066e-125	283.614036869928	C6orf97	C6orf97	6.88324176656367e-129	2.49572579972066e-125	29.4528728085051	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
GATA3	3.49471452049191	12.7187469230769	29.2266679008661	1.62834277672032e-127	4.92003769986044e-124	280.465138411642	GATA3	GATA3	1.62834277672032e-127	4.92003769986044e-124	29.2266679008661	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
TBC1D9	3.16779753576439	12.4301626923077	28.4707511150443	6.40096209248459e-123	1.6577577396379e-119	269.934763185558	TBC1D9	TBC1D9	6.40096209248459e-123	1.6577577396379e-119	28.4707511150443	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
THSD4	3.43311074280296	10.6675658974359	28.1607240829852	4.91462737019034e-121	1.11371599492726e-117	265.613681327697	THSD4	THSD4	4.91462737019034e-121	1.11371599492726e-117	28.1607240829852	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
CT62	3.75473197743054	4.65121102564103	28.0726180883233	1.67766072373033e-120	3.37936791783413e-117	264.391497264749	CT62	CT62	1.67766072373033e-120	3.37936791783413e-117	28.0726180883233	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
DNALI1	3.98456942061183	8.61555679487179	26.6857546656752	4.56292016100824e-112	8.27211795989184e-109	245.057853112231	DNALI1	DNALI1	4.56292016100824e-112	8.27211795989184e-109	26.6857546656752	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
MLPH	3.76123041021017	11.5915047435897	26.6506045444883	7.46096770546008e-112	1.22963530483896e-108	244.568327932434	MLPH	MLPH	7.46096770546008e-112	1.22963530483896e-108	26.6506045444883	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
FSIP1	4.55630383253238	6.86364358974359	26.4981855164339	6.29004526259344e-111	9.50268588046304e-108	242.445975508419	FSIP1	FSIP1	6.29004526259344e-111	9.50268588046304e-108	26.4981855164339	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
FOXA1	4.26842360033091	11.7719019230769	26.4805322397297	8.05138013166135e-111	1.12279592620684e-107	242.200201189832	FOXA1	FOXA1	8.05138013166135e-111	1.12279592620684e-107	26.4805322397297	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
XBP1	2.30565063162884	14.8663188461538	25.9718953792987	9.84613722597503e-108	1.22365605874978e-104	235.122829675452	XBP1	XBP1	9.84613722597503e-108	1.22365605874978e-104	25.9718953792987	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
ANXA9	3.34681937831734	8.53351807692308	25.9698988939171	1.01245743732399e-107	1.22365605874978e-104	235.09506705923	ANXA9	ANXA9	1.01245743732399e-107	1.22365605874978e-104	25.9698988939171	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
ERBB4	4.59456816572009	8.58002730769231	25.5454255017017	3.79009741861514e-105	4.29441725637962e-102	229.196132820461	ERBB4	ERBB4	3.79009741861514e-105	4.29441725637962e-102	25.5454255017017	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
VGLL1	-5.31681625874938	3.47902602564103	-25.4655916585783	1.15406469558966e-104	1.23070816860853e-101	228.087572683823	VGLL1	VGLL1	1.15406469558966e-104	1.23070816860853e-101	-25.4655916585783	RNAseq	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
FLJ45983	4.35219644819155	6.64790807692308	25.4525190822917	1.38484797695144e-104	1.39477272078626e-101	227.90607837117	FLJ45983	FLJ45983	1.38484797695144e-104	1.39477272078626e-101	25.4525190822917	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
TFF1	6.90801719294657	8.30955435897436	25.1755969504046	6.57099447734545e-103	6.26976625683135e-100	224.063464756201	TFF1	TFF1	6.57099447734545e-103	6.26976625683135e-100	25.1755969504046	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
AGR2	5.35838159492094	11.5516620512821	25.1234850952	1.35789015638536e-102	1.23085953225551e-99	223.340815591147	AGR2	AGR2	1.35789015638536e-102	1.23085953225551e-99	25.1234850952	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
DEGS2	3.67544021137955	9.18313525641026	25.1184337649229	1.45685864913202e-102	1.25768525952926e-99	223.270775606111	DEGS2	DEGS2	1.45685864913202e-102	1.25768525952926e-99	25.1184337649229	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
C1orf64	5.71415035090493	6.63057358974359	24.7555965224526	2.27127639162596e-100	1.87163498653577e-97	218.243805474856	C1orf64	C1orf64	2.27127639162596e-100	1.87163498653577e-97	24.7555965224526	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
ZMYND10	3.30341620018777	6.99761615384615	24.6729236436151	7.16804555586931e-100	5.64997816879803e-97	217.099577036296	ZMYND10	ZMYND10	7.16804555586931e-100	5.64997816879803e-97	24.6729236436151	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
SLC44A4	4.5718009156062	9.94562730769231	23.9659880754426	1.30175988459487e-95	9.8331687282585e-93	207.335739120743	SLC44A4	SLC44A4	1.30175988459487e-95	9.8331687282585e-93	23.9659880754426	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
ARSG	2.3688111815503	8.06201782051282	23.9359648856392	1.97254169974325e-95	1.43040833898582e-92	206.921962682998	ARSG	ARSG	1.97254169974325e-95	1.43040833898582e-92	23.9359648856392	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
GREB1	3.60044471783525	9.98903294871795	23.9116609418906	2.76129712747964e-95	1.92536752400302e-92	206.587065728875	GREB1	GREB1	2.76129712747964e-95	1.92536752400302e-92	23.9116609418906	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
PSAT1	-3.86102958012251	6.41801435897436	-23.9044480597097	3.05115474534186e-95	2.0486809029001e-92	206.487685544272	PSAT1	PSAT1	3.05115474534186e-95	2.0486809029001e-92	-23.9044480597097	RNAseq	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
B3GNT5	-2.41467006478959	7.3261908974359	-23.8456624972251	6.88183707423293e-95	4.45574372567032e-92	205.677900552328	B3GNT5	B3GNT5	6.88183707423293e-95	4.45574372567032e-92	-23.8456624972251	RNAseq	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
AFF3	4.00911023805759	10.0912278205128	23.7894588305915	1.49728360420803e-94	9.36008774506463e-92	204.903970846523	AFF3	AFF3	1.49728360420803e-94	9.36008774506463e-92	23.7894588305915	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
KCNJ11	2.5343240697534	7.86040628205128	23.7558219317632	2.38392029134472e-94	1.44060303205962e-91	204.440924811702	KCNJ11	KCNJ11	2.38392029134472e-94	1.44060303205962e-91	23.7558219317632	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
SCUBE2	4.62012333819798	10.8179966666667	23.6908462576673	5.85245784278631e-94	3.42255510425397e-91	203.546764098825	SCUBE2	SCUBE2	5.85245784278631e-94	3.42255510425397e-91	23.6908462576673	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
ACADSB	2.20790927318528	10.6309978205128	23.6863505532978	6.22758274257443e-94	3.52812023562912e-91	203.484911146225	ACADSB	ACADSB	6.22758274257443e-94	3.52812023562912e-91	23.6863505532978	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
ZNF552	2.11254893891932	9.93647397435898	23.6419182558675	1.15063548046647e-93	6.32117291678081e-91	202.873703558175	ZNF552	ZNF552	1.15063548046647e-93	6.32117291678081e-91	23.6419182558675	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
A2ML1	-5.17524234562508	3.47870551282051	-23.5781017222677	2.77797880827127e-93	1.48123464162205e-90	201.996176575584	A2ML1	A2ML1	2.77797880827127e-93	1.48123464162205e-90	-23.5781017222677	RNAseq	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
DACH1	3.79332696065218	8.00786012820513	23.4993035069328	8.24418528291848e-93	4.27025242840083e-90	200.91318435727	DACH1	DACH1	8.24418528291848e-93	4.27025242840083e-90	23.4993035069328	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
TFF3	5.52639975552849	9.72101884615385	23.2990586540216	1.30454285839272e-91	6.56946041105598e-89	198.163841982306	TFF3	TFF3	1.30454285839272e-91	6.56946041105598e-89	23.2990586540216	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
TTLL4	-1.47348687755045	9.00014717948718	-23.2271114646901	3.49356330995597e-91	1.71175160124843e-88	197.183089528869	TTLL4	TTLL4	3.49356330995597e-91	1.71175160124843e-88	-23.2271114646901	RNAseq	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
CYP2B7P1	6.37743088706903	7.82870846153846	23.1348281681903	1.25231527112992e-90	5.9745325132406e-88	195.912093189475	CYP2B7P1	CYP2B7P1	1.25231527112992e-90	5.9745325132406e-88	23.1348281681903	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
MYB	2.42547055373259	10.3199170512821	23.1312802141856	1.31498224606835e-90	6.11264439460849e-88	195.863479586762	MYB	MYB	1.31498224606835e-90	6.11264439460849e-88	23.1312802141856	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
SLC22A5	1.44767234497439	8.98783948717949	23.0876583751457	2.38122546983339e-90	1.07923091356524e-87	195.272278954767	SLC22A5	SLC22A5	2.38122546983339e-90	1.07923091356524e-87	23.0876583751457	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
PPP1R14C	-4.06297128435847	4.90291512820513	-23.02454708264	5.70931746062858e-90	2.5244930791155e-87	194.401685574618	PPP1R14C	PPP1R14C	5.70931746062858e-90	2.5244930791155e-87	-23.02454708264	RNAseq	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
PRR15	3.45525509625485	8.32723846153846	23.0008897985889	7.90400017390613e-90	3.41170521792248e-87	194.077852680842	PRR15	PRR15	7.90400017390613e-90	3.41170521792248e-87	23.0008897985889	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
CXXC5	1.8269959787691	9.34205846153846	22.953375937646	1.51872500151049e-89	6.40301524474038e-87	193.427650531972	CXXC5	CXXC5	1.51872500151049e-89	6.40301524474038e-87	22.953375937646	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
IFRD1	-1.38276011303322	9.01395666666667	-22.944656395757	1.69914847004421e-89	7.00087786668899e-87	193.315855060662	IFRD1	IFRD1	1.69914847004421e-89	7.00087786668899e-87	-22.944656395757	RNAseq	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
CLSTN2	3.72194215320834	9.20732705128205	22.9185630399629	2.45031643712899e-89	9.871508153047e-87	192.951418284717	CLSTN2	CLSTN2	2.45031643712899e-89	9.871508153047e-87	22.9185630399629	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
FBP1	2.35678117290547	10.1365412820513	22.8036903717698	1.18653499334155e-88	4.676237585715e-86	191.380987145092	FBP1	FBP1	1.18653499334155e-88	4.676237585715e-86	22.8036903717698	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
ABAT	2.84174132312067	9.59860538461538	22.6485966089105	9.95674808503872e-88	3.84055076667377e-85	189.263188574396	ABAT	ABAT	9.95674808503872e-88	3.84055076667377e-85	22.6485966089105	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
RABEP1	1.48134199518495	11.5947455128205	22.6362262362638	1.17963697327479e-87	4.45534139343723e-85	189.094398139901	RABEP1	RABEP1	1.17963697327479e-87	4.45534139343723e-85	22.6362262362638	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
ART3	-4.11904699709051	2.161555	-22.5885839316451	2.26593509465946e-87	8.25989400532192e-85	188.444509210065	ART3	ART3	2.26593509465946e-87	8.25989400532192e-85	-22.5885839316451	RNAseq	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
CELSR1	2.05408547950807	11.7343746153846	22.5881934361806	2.27808869913451e-87	8.25989400532192e-85	188.439183630169	CELSR1	CELSR1	2.27808869913451e-87	8.25989400532192e-85	22.5881934361806	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
SERPINA11	4.93348824584723	5.88131538461538	22.4294107217815	2.00223789046364e-86	7.11736680710106e-84	186.275307763385	SERPINA11	SERPINA11	2.00223789046364e-86	7.11736680710106e-84	22.4294107217815	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
