gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	gene_id	pvalue	padj	stat	layer	significant	direction	comparison	reference	contrast	method
CPA1	-3.85538175966352	1.10884120561519	-37.6014331937932	8.77131914759719e-206	1.59638008486269e-201	460.220109652203	CPA1	CPA1	8.77131914759719e-206	1.59638008486269e-201	-37.6014331937932	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
NEK2	4.57338486462283	8.24624574731627	36.6558753984778	1.2300360531175e-198	1.11933280833693e-194	443.810268607336	NEK2	NEK2	1.2300360531175e-198	1.11933280833693e-194	36.6558753984778	RNAseq	TRUE	Tumor_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
MYOC	-5.90865574533416	1.73605730800991	-35.9520830805759	2.58705208764127e-193	1.56947826650237e-189	431.587986435208	MYOC	MYOC	2.58705208764127e-193	1.56947826650237e-189	-35.9520830805759	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
CA4	-6.60404073230021	2.12206102394715	-35.69973867511	2.10022315613074e-191	9.55601536039487e-188	427.203449170036	CA4	CA4	2.10022315613074e-191	9.55601536039487e-188	-35.69973867511	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
GPAM	-3.65623395144653	9.13172427745665	-35.1860402955353	1.62311519930126e-187	5.90813932545657e-184	418.275436720951	GPAM	GPAM	1.62311519930126e-187	5.90813932545657e-184	-35.1860402955353	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
HSD17B13	-4.77336483151817	2.20885507844756	-34.865609749105	4.32526414879765e-185	1.31199679180195e-181	412.70542852582	HSD17B13	HSD17B13	4.32526414879765e-185	1.31199679180195e-181	-34.865609749105	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
LOC572558	-3.09367943434246	0.904842609413708	-34.7609776005862	2.65864016170581e-184	6.91246442043511e-181	410.894447840027	LOC572558	LOC572558	2.65864016170581e-184	6.91246442043511e-181	-34.7609776005862	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
MMP11	5.82157879224041	11.7669927332783	34.3806253183854	2.0295108865439e-181	4.61713726688738e-178	404.274799508638	MMP11	MMP11	2.0295108865439e-181	4.61713726688738e-178	34.3806253183854	RNAseq	TRUE	Tumor_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
COL10A1	6.77424359976972	9.91480189925681	34.2454699288991	2.14021114454434e-180	4.32798253674523e-177	401.92550177285	COL10A1	COL10A1	2.14021114454434e-180	4.32798253674523e-177	34.2454699288991	RNAseq	TRUE	Tumor_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
FIGF	-6.15555158246572	3.61267018992568	-33.8515559865149	2.05019357891627e-177	3.73135231362762e-174	395.079309448654	FIGF	FIGF	2.05019357891627e-177	3.73135231362762e-174	-33.8515559865149	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
PKMYT1	4.53486982440149	7.82500990916598	33.5362664269662	4.98209838184421e-175	8.2431082317786e-172	389.601050931175	PKMYT1	PKMYT1	4.98209838184421e-175	8.2431082317786e-172	33.5362664269662	RNAseq	TRUE	Tumor_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
LRRC3B	-3.77151359369253	1.42117654830718	-33.43128824669	3.08930436194958e-174	4.68544494895687e-171	387.781280664084	LRRC3B	LRRC3B	3.08930436194958e-174	4.68544494895687e-171	-33.43128824669	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
MESTIT1	-3.31836273169249	1.53770156895128	-33.2701162110981	5.0995173124015e-173	7.1393242373621e-170	384.985036438107	MESTIT1	MESTIT1	5.0995173124015e-173	7.1393242373621e-170	-33.2701162110981	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
LYVE1	-5.0199964976251	5.6003397192403	-32.9356337724277	1.73632162459651e-170	2.25721811197546e-167	379.170335495519	LYVE1	LYVE1	1.73632162459651e-170	2.25721811197546e-167	-32.9356337724277	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
KIF4A	4.30203861488271	8.32924938067713	32.8157195779426	1.39952595057324e-169	1.69809148669553e-166	377.08898348304	KIF4A	KIF4A	1.39952595057324e-169	1.69809148669553e-166	32.8157195779426	RNAseq	TRUE	Tumor_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
GLYAT	-5.9513167754162	2.1633622625929	-32.2583185061384	2.27135639529435e-165	2.58366789964732e-162	367.420348714078	GLYAT	GLYAT	2.27135639529435e-165	2.58366789964732e-162	-32.2583185061384	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
AQP7P3	-3.27961494426586	0.892092981007432	-32.2341414793004	3.4375292331835e-165	3.68017835552586e-162	367.007067715696	AQP7P3	AQP7P3	3.4375292331835e-165	3.68017835552586e-162	-32.2341414793004	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
ADRA1A	-3.81347419517344	1.56679669694467	-32.1226318279478	2.39646398537935e-164	2.42309136299467e-161	365.070437177993	ADRA1A	ADRA1A	2.39646398537935e-164	2.42309136299467e-161	-32.1226318279478	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
KIAA0101	3.54473032512917	7.83670644095789	31.7149647024223	2.85272248074491e-161	2.7326078499767e-158	358.007304794356	KIAA0101	KIAA0101	2.85272248074491e-161	2.7326078499767e-158	31.7149647024223	RNAseq	TRUE	Tumor_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
CAV1	-3.38027764077466	10.5934440957886	-31.3309216153236	2.23160884415339e-158	2.03076404817958e-155	351.362854066854	CAV1	CAV1	2.23160884415339e-158	2.03076404817958e-155	-31.3309216153236	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
UHRF1	3.69052829407157	8.10196713459951	31.1771634515321	3.20641909705407e-157	2.77889655078019e-154	348.704934008198	UHRF1	UHRF1	3.20641909705407e-157	2.77889655078019e-154	31.1771634515321	RNAseq	TRUE	Tumor_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
