feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	pvalue	padj	stat	layer	significant	direction	comparison	reference	contrast	method	protein_label	protein_base	gene	feature_type	mapping_class	mapping_source	include_in_gene_level_concordance	protein_key
ER-alpha-R-V	4.08979106715836	-0.06561210680573	28.3166514143347	7.62065477732425e-115	2.13378333765079e-112	251.570250296388	7.62065477732425e-115	2.13378333765079e-112	28.3166514143347	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	ER-alpha-R-V	ER-alpha	ESR1	total	unique	curated_rppa_dict	TRUE	eralpha
GATA3-M-V	1.832407267621	0.0520705711032182	21.8387838058402	2.28256621644775e-79	3.19559270302685e-77	170.078838311815	2.28256621644775e-79	3.19559270302685e-77	21.8387838058402	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	GATA3-M-V	GATA3	GATA3	total	unique	curated_rppa_dict	TRUE	gata3
Cyclin_E1-M-V	-0.618464571714268	0.125622361731162	-14.7349845152264	1.65682740513412e-42	1.54637224479184e-40	85.4835813261858	1.65682740513412e-42	1.54637224479184e-40	-14.7349845152264	RPPA	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Cyclin_E1-M-V	Cyclin_E1	CCNE1	total	unique	curated_rppa_dict	TRUE	cycline1
INPP4B-G-C	1.02645739737976	0.0864997423993559	13.852981241579	3.15738817743006e-38	2.21017172420104e-36	75.6921825137031	3.15738817743006e-38	2.21017172420104e-36	13.852981241579	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	INPP4B-G-C	INPP4B	INPP4B	total	unique	curated_rppa_dict	TRUE	inpp4b
ASNS-R-V	-0.694579515488047	0.0941374703175039	-13.5223783614148	8.17002371725909e-37	4.57521328166509e-35	72.4395829971798	8.17002371725909e-37	4.57521328166509e-35	-13.5223783614148	RPPA	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	ASNS-R-V	ASNS	ASNS	total	unique	curated_rppa_dict	TRUE	asns
AR-R-V	1.00926708276736	0.0753888055545526	13.2363133780191	1.6489409651331e-35	7.69505783728782e-34	69.4510786745587	1.6489409651331e-35	7.69505783728782e-34	13.2363133780191	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	AR-R-V	AR	AR	total	unique	curated_rppa_dict	TRUE	ar
Bcl-2-M-V	1.03370655291695	0.262505375820644	13.1449787032993	4.2716046931686e-35	1.70864187726744e-33	68.5045330579873	4.2716046931686e-35	1.70864187726744e-33	13.1449787032993	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Bcl-2-M-V	Bcl-2	BCL2	total	unique	curated_rppa_dict	TRUE	bcl2
FoxM1-R-V	-0.649977314531288	0.121540512399922	-12.695019615595	4.39799440984968e-33	1.53929804344739e-31	63.8970909248281	4.39799440984968e-33	1.53929804344739e-31	-12.695019615595	RPPA	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	FoxM1-R-V	FoxM1	FOXM1	total	unique	curated_rppa_dict	TRUE	foxm1
PR-R-V	2.08684621499903	0.840080618923469	12.3719142963611	1.15655382664069e-31	3.59816746065993e-30	60.6477119367492	1.15655382664069e-31	3.59816746065993e-30	12.3719142963611	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	PR-R-V	PR	PGR	total	unique	curated_rppa_dict	TRUE	pr
PREX1-R-E	0.898135872799324	0.19573328114011	12.2277071169614	4.89569895042816e-31	1.37079570611988e-29	59.2139868154657	4.89569895042816e-31	1.37079570611988e-29	12.2277071169614	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	PREX1-R-E	PREX1	PREX1	total	unique	curated_rppa_dict	TRUE	prex1
ER-alpha_pS118-R-V	0.609936408620265	0.0560833440074568	12.0147698166711	4.04512168140897e-30	1.02966733708592e-28	57.1160734703126	4.04512168140897e-30	1.02966733708592e-28	12.0147698166711	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	ER-alpha_pS118-R-V	ER-alpha_pS118		phospho	unmapped		FALSE	eralphaps118
P-Cadherin-R-C	-0.376136336295797	0.0516563705992935	-11.1373228819977	1.89759175619212e-26	4.42771409778162e-25	48.7231587358885	1.89759175619212e-26	4.42771409778162e-25	-11.1373228819977	RPPA	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	P-Cadherin-R-C	P-Cadherin	CDH3	total	unique	curated_rppa_dict	TRUE	pcadherin
JNK2-R-C	0.335202468227647	0.0500003741267661	10.6378257235839	1.93261563178824e-24	4.16255674539006e-23	44.1369274188428	1.93261563178824e-24	4.16255674539006e-23	10.6378257235839	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	JNK2-R-C	JNK2	MAPK9	total	unique	curated_rppa_dict	TRUE	jnk2
MSH6-R-C	-0.584781675184533	0.0797336744076	-10.4172649398271	1.52938036788883e-23	3.05876073577766e-22	42.0986391407453	1.52938036788883e-23	3.05876073577766e-22	-10.4172649398271	RPPA	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	MSH6-R-C	MSH6	MSH6	total	unique	curated_rppa_dict	TRUE	msh6
PDK1-R-V	0.232370748855167	-0.00268275371232339	10.1093648143679	2.19570828992295e-22	4.09865547452284e-21	39.44598447352	2.19570828992295e-22	4.09865547452284e-21	10.1093648143679	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	PDK1-R-V	PDK1	PDPK1	total	unique	curated_rppa_dict	TRUE	pdk1
IGFBP2-R-V	0.858317399774006	0.265948546355181	9.87905722487644	1.63786245908678e-21	2.86625930340187e-20	37.4556136969254	1.63786245908678e-21	2.86625930340187e-20	9.87905722487644	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	IGFBP2-R-V	IGFBP2	IGFBP2	total	unique	curated_rppa_dict	TRUE	igfbp2
PDK1_pS241-R-V	0.288514021726067	-0.00198486779945055	9.82136632106535	2.69548470933426e-21	4.33971548446535e-20	36.9622986099703	2.69548470933426e-21	4.33971548446535e-20	9.82136632106535	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	PDK1_pS241-R-V	PDK1_pS241		phospho	unmapped		FALSE	pdk1ps241
EGFR-R-V	-0.368510548392968	0.1155260706948	-9.82261385121523	2.82901940473786e-21	4.33971548446535e-20	36.9268837796089	2.82901940473786e-21	4.33971548446535e-20	-9.82261385121523	RPPA	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	EGFR-R-V	EGFR	EGFR	total	unique	curated_rppa_dict	TRUE	egfr
INPP4B-G-E	1.49911760737777	0.0721745052894737	10.7102959268688	2.9448069358872e-21	4.33971548446535e-20	37.5255254137069	2.9448069358872e-21	4.33971548446535e-20	10.7102959268688	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	INPP4B-G-E	INPP4B	INPP4B	total	unique	curated_rppa_dict	TRUE	inpp4b
