feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	pvalue	padj	stat	layer	significant	direction	comparison	reference	contrast	method	protein_label	protein_base	gene	feature_type	mapping_class	mapping_source	include_in_gene_level_concordance	protein_key
c-Abl-R-V	0.0347255868020077	0.00137768153257457	1.540576916956	0.12391587480275	0.16680983146524	-6.77816842545407	0.12391587480275	0.16680983146524	1.540576916956	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	c-Abl-R-V	c-Abl	ABL1	total	unique	curated_rppa_dict	TRUE	cabl
ACC1-R-C	0.348909147579331	0.0572368331352657	4.60527783970266	4.99787026541137e-06	1.70658984672583e-05	2.48328428378	4.99787026541137e-06	1.70658984672583e-05	4.60527783970266	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	ACC1-R-C	ACC1	ACACA	total	unique	curated_rppa_dict	TRUE	acc1
ACVRL1-R-C	0.0491919019261946	0.0769061075380691	1.77998874546238	0.0755539309148845	0.112527131149828	-6.38224889310069	0.0755539309148845	0.112527131149828	1.77998874546238	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	ACVRL1-R-C	ACVRL1	ACVRL1	total	unique	curated_rppa_dict	TRUE	acvrl1
ADAR1-M-V	-0.13786957296985	-0.0468053422711931	-3.23549763646412	0.00127711397845528	0.00279368682787093	-2.76946219513438	0.00127711397845528	0.00279368682787093	-3.23549763646412	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	ADAR1-M-V	ADAR1	ADAR	total	unique	curated_rppa_dict	TRUE	adar1
Annexin-1-M-E	-0.261036712250523	0.142267608212323	-4.50430380035564	7.92013666979039e-06	2.57864914830385e-05	2.02682877177484	7.92013666979039e-06	2.57864914830385e-05	-4.50430380035564	RPPA	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Annexin-1-M-E	Annexin-1	ANXA1	total	unique	curated_rppa_dict	TRUE	annexin1
Annexin_VII-M-V	0.175631512534674	0.0310988749148352	7.1636383519546	2.17571159514259e-12	1.69222012955535e-11	16.7236897583339	2.17571159514259e-12	1.69222012955535e-11	7.1636383519546	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Annexin_VII-M-V	Annexin_VII	ANXA7	total	unique	curated_rppa_dict	TRUE	annexinvii
AR-R-V	1.00926708276736	0.0753888055545526	13.2363133780191	1.6489409651331e-35	7.69505783728782e-34	69.4510786745587	1.6489409651331e-35	7.69505783728782e-34	13.2363133780191	RPPA	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	AR-R-V	AR	AR	total	unique	curated_rppa_dict	TRUE	ar
A-Raf-R-V	0.109966318629969	-0.0106150931448195	3.74446379638466	0.000197131576183899	0.000497268840824251	-1.02602231750854	0.000197131576183899	0.000497268840824251	3.74446379638466	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	A-Raf-R-V	A-Raf	ARAF	total	unique	curated_rppa_dict	TRUE	araf
ASNS-R-V	-0.694579515488047	0.0941374703175039	-13.5223783614148	8.17002371725909e-37	4.57521328166509e-35	72.4395829971798	8.17002371725909e-37	4.57521328166509e-35	-13.5223783614148	RPPA	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	ASNS-R-V	ASNS	ASNS	total	unique	curated_rppa_dict	TRUE	asns
ATM-R-V	-0.107098799206974	-0.0193610275090267	-2.05983932200376	0.0398192171093702	0.0633487544921798	-5.84786535157749	0.0398192171093702	0.0633487544921798	-2.05983932200376	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	ATM-R-V	ATM	ATM	total	unique	curated_rppa_dict	TRUE	atm
