variable	term	HR	conf.low	conf.high	p.value	n	n_events	note
age_at_initial_pathologic_diagnosis	x	1.00346290489661	0.992284652029164	1.01476708265559	0.545290483842259	173	173	
age_group	xAge >= 60	1.30334581230961	0.966044891195781	1.75841756625028	0.0829389961875906	173	173	
AJCC_stage_broad	xStage II	1.44422604807962	0.764534382911303	2.72818191643535	0.257364231342492	99	99	
AJCC_stage_broad	xStage III	2.6261758899342	1.33877452907493	5.15157680034239	0.00497483268795335	99	99	
AJCC_stage_broad	xStage IV	14.0093338368446	6.2613363338957	31.3449755908655	1.32390209434625e-10	99	99	
histological_type	xInfiltrating Lobular Carcinoma	0.778397421107096	0.494563248166763	1.22512650794843	0.279005617642831	173	173	
histological_type	xMixed Histology (please specify)	1.24959537319989	0.634518698697538	2.46090241300657	0.519312701247123	173	173	
histological_type	xMucinous Carcinoma	2.49343549836728	0.791006926864543	7.85988134030936	0.118823302069274	173	173	
histological_type	xOther	0.695013555892206	0.170914676019689	2.82622799939243	0.611215284263434	173	173	
histological_type	xOther, specify	1.49825813752227	0.806803674728304	2.78230939814154	0.200472580225217	173	173	
menopause_status	xPeri (6-12 months since last menstrual period)	0.271685348429127	0.061266191456932	1.20479055080393	0.0863820573899335	150	150	
menopause_status	xPost (prior bilateral ovariectomy OR >12 mo since LMP with no prior hysterectomy)	0.733010305167955	0.409568139795782	1.31187964901354	0.295620560681852	150	150	
menopause_status	xPre (<6 months since LMP AND no prior bilateral ovariectomy AND not on estrogen replacement)	0.703149330568449	0.373237403468245	1.32467693881844	0.27577202779785	150	150	
