pathway	collection	comparison	ES	NES	pvalue	padj	FWER	size	direction	method	source	rank_metric	report_side	rank_at_max	leading_edge	core_enrichment	output_label	source_file	significant_fdr_0_25	significant_fdr_0_05	NAME	NAME_KEY	COLLECTION	COMPARISON	SIZE	NOM p-val	FDR	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	Log10FDR	tags	list	signal	PA_ID
HALLMARK_E2F_TARGETS	Hallmark	ERpositive_vs_ERnegative	-0.65456504	-3.2293992	0	0	0	187	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3853	tags=68%, list=21%, signal=86%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Hallmark	ERpositive_vs_ERnegative	187	0	0	0	0	3853	tags=68%, list=21%, signal=86%	307.652655568589	68	21	86	ERpositive_vs_ERnegative::Hallmark::HALLMARK_E2F_TARGETS
HALLMARK_ESTROGEN_RESPONSE_EARLY	Hallmark	ERpositive_vs_ERnegative	0.62255204	3.0265758	0	0	0	190	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	1948	tags=45%, list=11%, signal=50%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_pos_1779214203280.tsv	TRUE	TRUE	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Hallmark	ERpositive_vs_ERnegative	190	0	0	0	0	1948	tags=45%, list=11%, signal=50%	307.652655568589	45	11	50	ERpositive_vs_ERnegative::Hallmark::HALLMARK_ESTROGEN_RESPONSE_EARLY
HALLMARK_G2M_CHECKPOINT	Hallmark	ERpositive_vs_ERnegative	-0.6079698	-2.9797523	0	0	0	183	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3115	tags=58%, list=17%, signal=69%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Hallmark	ERpositive_vs_ERnegative	183	0	0	0	0	3115	tags=58%, list=17%, signal=69%	307.652655568589	58	17	69	ERpositive_vs_ERnegative::Hallmark::HALLMARK_G2M_CHECKPOINT
HALLMARK_MYC_TARGETS_V1	Hallmark	ERpositive_vs_ERnegative	-0.5927197	-2.9041023	0	0	0	187	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4658	tags=58%, list=26%, signal=78%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Hallmark	ERpositive_vs_ERnegative	187	0	0	0	0	4658	tags=58%, list=26%, signal=78%	307.652655568589	58	26	78	ERpositive_vs_ERnegative::Hallmark::HALLMARK_MYC_TARGETS_V1
HALLMARK_ALLOGRAFT_REJECTION	Hallmark	ERpositive_vs_ERnegative	-0.5199458	-2.5393193	0	0	0	190	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	6742	tags=75%, list=37%, signal=118%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Hallmark	ERpositive_vs_ERnegative	190	0	0	0	0	6742	tags=75%, list=37%, signal=118%	307.652655568589	75	37	118	ERpositive_vs_ERnegative::Hallmark::HALLMARK_ALLOGRAFT_REJECTION
HALLMARK_MYC_TARGETS_V2	Hallmark	ERpositive_vs_ERnegative	-0.6146416	-2.4246998	0	0	0	57	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4404	tags=65%, list=24%, signal=85%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Hallmark	ERpositive_vs_ERnegative	57	0	0	0	0	4404	tags=65%, list=24%, signal=85%	307.652655568589	65	24	85	ERpositive_vs_ERnegative::Hallmark::HALLMARK_MYC_TARGETS_V2
HALLMARK_ESTROGEN_RESPONSE_LATE	Hallmark	ERpositive_vs_ERnegative	0.49458718	2.4151144	0	0	0	193	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	2466	tags=41%, list=14%, signal=47%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_pos_1779214203280.tsv	TRUE	TRUE	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Hallmark	ERpositive_vs_ERnegative	193	0	0	0	0	2466	tags=41%, list=14%, signal=47%	307.652655568589	41	14	47	ERpositive_vs_ERnegative::Hallmark::HALLMARK_ESTROGEN_RESPONSE_LATE
HALLMARK_MTORC1_SIGNALING	Hallmark	ERpositive_vs_ERnegative	-0.468967	-2.303069	0	0	0	191	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3849	tags=48%, list=21%, signal=60%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Hallmark	ERpositive_vs_ERnegative	191	0	0	0	0	3849	tags=48%, list=21%, signal=60%	307.652655568589	48	21	60	ERpositive_vs_ERnegative::Hallmark::HALLMARK_MTORC1_SIGNALING
HALLMARK_INTERFERON_GAMMA_RESPONSE	Hallmark	ERpositive_vs_ERnegative	-0.41249627	-2.0487728	0	0.00020779223	0.001	194	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	6179	tags=57%, list=34%, signal=86%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Hallmark	ERpositive_vs_ERnegative	194	0	0.00020779223	0.00020779223	0.001	6179	tags=57%, list=34%, signal=86%	3.68237069610134	57	34	86	ERpositive_vs_ERnegative::Hallmark::HALLMARK_INTERFERON_GAMMA_RESPONSE
HALLMARK_INFLAMMATORY_RESPONSE	Hallmark	ERpositive_vs_ERnegative	-0.39807606	-1.9510267	0	0.00034181817	0.002	195	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	5438	tags=50%, list=30%, signal=70%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Hallmark	ERpositive_vs_ERnegative	195	0	0.00034181817	0.00034181817	0.002	5438	tags=50%, list=30%, signal=70%	3.46620485524607	50	30	70	ERpositive_vs_ERnegative::Hallmark::HALLMARK_INFLAMMATORY_RESPONSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	Hallmark	ERpositive_vs_ERnegative	-0.4434119	-1.9211506	0	0.000549341	0.004	83	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	5124	tags=53%, list=28%, signal=74%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Hallmark	ERpositive_vs_ERnegative	83	0	0.000549341	0.000549341	0.004	5124	tags=53%, list=28%, signal=74%	3.26015798625215	53	28	74	ERpositive_vs_ERnegative::Hallmark::HALLMARK_IL6_JAK_STAT3_SIGNALING
HALLMARK_TNFA_SIGNALING_VIA_NFKB	Hallmark	ERpositive_vs_ERnegative	-0.37636012	-1.86931	0	0.00091531937	0.007	196	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	5072	tags=48%, list=28%, signal=66%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Hallmark	ERpositive_vs_ERnegative	196	0	0.00091531937	0.00091531937	0.007	5072	tags=48%, list=28%, signal=66%	3.03842734699541	48	28	66	ERpositive_vs_ERnegative::Hallmark::HALLMARK_TNFA_SIGNALING_VIA_NFKB
HALLMARK_MITOTIC_SPINDLE	Hallmark	ERpositive_vs_ERnegative	-0.3657976	-1.800739	0	0.0013190737	0.011	195	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4261	tags=38%, list=24%, signal=49%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Hallmark	ERpositive_vs_ERnegative	195	0	0.0013190737	0.0013190737	0.011	4261	tags=38%, list=24%, signal=49%	2.87973093863928	38	24	49	ERpositive_vs_ERnegative::Hallmark::HALLMARK_MITOTIC_SPINDLE
HALLMARK_SPERMATOGENESIS	Hallmark	ERpositive_vs_ERnegative	-0.35595205	-1.6258206	0.0021097045	0.006165583	0.057	112	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3022	tags=32%, list=17%, signal=38%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Hallmark	ERpositive_vs_ERnegative	112	0.0021097045	0.006165583	0.006165583	0.057	3022	tags=32%, list=17%, signal=38%	2.21002585147507	32	17	38	ERpositive_vs_ERnegative::Hallmark::HALLMARK_SPERMATOGENESIS
