pathway	collection	comparison	ES	NES	pvalue	padj	FWER	size	direction	method	source	rank_metric	report_side	rank_at_max	leading_edge	core_enrichment	output_label	source_file	significant_fdr_0_25	significant_fdr_0_05	NAME	NAME_KEY	COLLECTION	COMPARISON	SIZE	NOM p-val	FDR	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	Log10FDR	tags	list	signal	PA_ID
HALLMARK_E2F_TARGETS	Hallmark	Tumor_vs_Normal	0.728465	3.7095683	0	0	0	187	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	2034	tags=56%, list=11%, signal=63%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Hallmark	Tumor_vs_Normal	187	0	0	0	0	2034	tags=56%, list=11%, signal=63%	307.652655568589	56	11	63	Tumor_vs_Normal::Hallmark::HALLMARK_E2F_TARGETS
HALLMARK_G2M_CHECKPOINT	Hallmark	Tumor_vs_Normal	0.6675501	3.4659383	0	0	0	183	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	1782	tags=50%, list=10%, signal=55%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Hallmark	Tumor_vs_Normal	183	0	0	0	0	1782	tags=50%, list=10%, signal=55%	307.652655568589	50	10	55	Tumor_vs_Normal::Hallmark::HALLMARK_G2M_CHECKPOINT
HALLMARK_MYC_TARGETS_V1	Hallmark	Tumor_vs_Normal	0.61772877	3.167722	0	0	0	187	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	4226	tags=63%, list=23%, signal=81%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Hallmark	Tumor_vs_Normal	187	0	0	0	0	4226	tags=63%, list=23%, signal=81%	307.652655568589	63	23	81	Tumor_vs_Normal::Hallmark::HALLMARK_MYC_TARGETS_V1
HALLMARK_MYC_TARGETS_V2	Hallmark	Tumor_vs_Normal	0.6640327	2.7673156	0	0	0	57	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	4602	tags=77%, list=25%, signal=103%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Hallmark	Tumor_vs_Normal	57	0	0	0	0	4602	tags=77%, list=25%, signal=103%	307.652655568589	77	25	103	Tumor_vs_Normal::Hallmark::HALLMARK_MYC_TARGETS_V2
HALLMARK_MTORC1_SIGNALING	Hallmark	Tumor_vs_Normal	0.4927477	2.5382164	0	0	0	191	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	3873	tags=50%, list=21%, signal=63%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Hallmark	Tumor_vs_Normal	191	0	0	0	0	3873	tags=50%, list=21%, signal=63%	307.652655568589	50	21	63	Tumor_vs_Normal::Hallmark::HALLMARK_MTORC1_SIGNALING
HALLMARK_DNA_REPAIR	Hallmark	Tumor_vs_Normal	0.4688881	2.2804985	0	0	0	139	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	4040	tags=47%, list=22%, signal=61%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Hallmark	Tumor_vs_Normal	139	0	0	0	0	4040	tags=47%, list=22%, signal=61%	307.652655568589	47	22	61	Tumor_vs_Normal::Hallmark::HALLMARK_DNA_REPAIR
HALLMARK_UV_RESPONSE_DN	Hallmark	Tumor_vs_Normal	-0.5245054	-2.2020912	0	0	0	136	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4594	tags=53%, list=25%, signal=70%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	TRUE	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Hallmark	Tumor_vs_Normal	136	0	0	0	0	4594	tags=53%, list=25%, signal=70%	307.652655568589	53	25	70	Tumor_vs_Normal::Hallmark::HALLMARK_UV_RESPONSE_DN
HALLMARK_ADIPOGENESIS	Hallmark	Tumor_vs_Normal	-0.48413718	-2.128024	0	0	0	188	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3027	tags=34%, list=17%, signal=40%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	TRUE	HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Hallmark	Tumor_vs_Normal	188	0	0	0	0	3027	tags=34%, list=17%, signal=40%	307.652655568589	34	17	40	Tumor_vs_Normal::Hallmark::HALLMARK_ADIPOGENESIS
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Hallmark	Tumor_vs_Normal	0.43884137	2.0823886	0	0	0	105	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	5534	tags=58%, list=30%, signal=83%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Hallmark	Tumor_vs_Normal	105	0	0	0	0	5534	tags=58%, list=30%, signal=83%	307.652655568589	58	30	83	Tumor_vs_Normal::Hallmark::HALLMARK_UNFOLDED_PROTEIN_RESPONSE
HALLMARK_MYOGENESIS	Hallmark	Tumor_vs_Normal	-0.47195655	-2.0713782	0	0	0	194	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4923	tags=48%, list=27%, signal=66%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	TRUE	HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Hallmark	Tumor_vs_Normal	194	0	0	0	0	4923	tags=48%, list=27%, signal=66%	307.652655568589	48	27	66	Tumor_vs_Normal::Hallmark::HALLMARK_MYOGENESIS
HALLMARK_GLYCOLYSIS	Hallmark	Tumor_vs_Normal	0.38494042	1.9892619	0	0	0	195	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	2806	tags=37%, list=15%, signal=43%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Hallmark	Tumor_vs_Normal	195	0	0	0	0	2806	tags=37%, list=15%, signal=43%	307.652655568589	37	15	43	Tumor_vs_Normal::Hallmark::HALLMARK_GLYCOLYSIS
HALLMARK_MITOTIC_SPINDLE	Hallmark	Tumor_vs_Normal	0.35703197	1.850932	0	0.00036111113	0.002	195	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	359	tags=15%, list=2%, signal=15%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Hallmark	Tumor_vs_Normal	195	0	0.00036111113	0.00036111113	0.002	359	tags=15%, list=2%, signal=15%	3.44235912574351	15	2	15	Tumor_vs_Normal::Hallmark::HALLMARK_MITOTIC_SPINDLE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	Hallmark	Tumor_vs_Normal	-0.4126748	-1.8084499	0	0.00055608404	0.003	196	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3395	tags=35%, list=19%, signal=42%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	TRUE	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Hallmark	Tumor_vs_Normal	196	0	0.00055608404	0.00055608404	0.003	3395	tags=35%, list=19%, signal=42%	3.25485956929893	35	19	42	Tumor_vs_Normal::Hallmark::HALLMARK_TNFA_SIGNALING_VIA_NFKB
HALLMARK_FATTY_ACID_METABOLISM	Hallmark	Tumor_vs_Normal	-0.40999314	-1.7758343	0	0.00074229686	0.005	149	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	2649	tags=30%, list=15%, signal=34%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	TRUE	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Hallmark	Tumor_vs_Normal	149	0	0.00074229686	0.00074229686	0.005	2649	tags=30%, list=15%, signal=34%	3.1294223765584	30	15	34	Tumor_vs_Normal::Hallmark::HALLMARK_FATTY_ACID_METABOLISM
