pathway	collection	comparison	ES	NES	pvalue	padj	FWER	size	direction	method	source	rank_metric	report_side	rank_at_max	leading_edge	core_enrichment	output_label	source_file	significant_fdr_0_25	significant_fdr_0_05	NAME	NAME_KEY	COLLECTION	COMPARISON	SIZE	NOM p-val	FDR	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	Log10FDR	tags	list	signal	PA_ID
GOBP_KERATINIZATION	GO_BP	ERpositive_vs_ERnegative	-0.64295	-2.4791884	0	0	0	48	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4104	tags=63%, list=23%, signal=81%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_KERATINIZATION	GOBP_KERATINIZATION	GO_BP	ERpositive_vs_ERnegative	48	0	0	0	0	4104	tags=63%, list=23%, signal=81%	307.652655568589	63	23	81	ERpositive_vs_ERnegative::GO_BP::GOBP_KERATINIZATION
GOBP_AXONEME_ASSEMBLY	GO_BP	ERpositive_vs_ERnegative	0.60612375	2.4159818	0	0	0	53	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	3978	tags=58%, list=22%, signal=75%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_pos_1779214203280.tsv	TRUE	TRUE	GOBP_AXONEME_ASSEMBLY	GOBP_AXONEME_ASSEMBLY	GO_BP	ERpositive_vs_ERnegative	53	0	0	0	0	3978	tags=58%, list=22%, signal=75%	307.652655568589	58	22	75	ERpositive_vs_ERnegative::GO_BP::GOBP_AXONEME_ASSEMBLY
GOBP_INTRACILIARY_TRANSPORT	GO_BP	ERpositive_vs_ERnegative	0.6470814	2.3851314	0	0	0	41	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	4209	tags=66%, list=23%, signal=86%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_pos_1779214203280.tsv	TRUE	TRUE	GOBP_INTRACILIARY_TRANSPORT	GOBP_INTRACILIARY_TRANSPORT	GO_BP	ERpositive_vs_ERnegative	41	0	0	0	0	4209	tags=66%, list=23%, signal=86%	307.652655568589	66	23	86	ERpositive_vs_ERnegative::GO_BP::GOBP_INTRACILIARY_TRANSPORT
GOBP_RRNA_PROCESSING	GO_BP	ERpositive_vs_ERnegative	-0.46585837	-2.3025157	0	0.00080126297	0.002	203	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4172	tags=45%, list=23%, signal=58%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_RRNA_PROCESSING	GOBP_RRNA_PROCESSING	GO_BP	ERpositive_vs_ERnegative	203	0	0.00080126297	0.00080126297	0.002	4172	tags=45%, list=23%, signal=58%	3.09622492751513	45	23	58	ERpositive_vs_ERnegative::GO_BP::GOBP_RRNA_PROCESSING
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	GO_BP	ERpositive_vs_ERnegative	-0.70594895	-2.3004475	0	0.00089779845	0.003	22	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3623	tags=68%, list=20%, signal=85%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_CHRONIC_INFLAMMATORY_RESPONSE	GOBP_CHRONIC_INFLAMMATORY_RESPONSE	GO_BP	ERpositive_vs_ERnegative	22	0	0.00089779845	0.00089779845	0.003	3623	tags=68%, list=20%, signal=85%	3.04682114871943	68	20	85	ERpositive_vs_ERnegative::GO_BP::GOBP_CHRONIC_INFLAMMATORY_RESPONSE
GOBP_RRNA_METABOLIC_PROCESS	GO_BP	ERpositive_vs_ERnegative	-0.44436243	-2.2674053	0	0.00096203433	0.004	247	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4172	tags=44%, list=23%, signal=57%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_RRNA_METABOLIC_PROCESS	GOBP_RRNA_METABOLIC_PROCESS	GO_BP	ERpositive_vs_ERnegative	247	0	0.00096203433	0.00096203433	0.004	4172	tags=44%, list=23%, signal=57%	3.01680942997514	44	23	57	ERpositive_vs_ERnegative::GO_BP::GOBP_RRNA_METABOLIC_PROCESS
GOBP_DNA_REPLICATION_INITIATION	GO_BP	ERpositive_vs_ERnegative	-0.6483818	-2.3354356	0	0.0012018945	0.002	33	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4425	tags=70%, list=24%, signal=92%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_DNA_REPLICATION_INITIATION	GOBP_DNA_REPLICATION_INITIATION	GO_BP	ERpositive_vs_ERnegative	33	0	0.0012018945	0.0012018945	0.002	4425	tags=70%, list=24%, signal=92%	2.92013365219908	70	24	92	ERpositive_vs_ERnegative::GO_BP::GOBP_DNA_REPLICATION_INITIATION
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	GO_BP	ERpositive_vs_ERnegative	-0.49932402	-2.2465146	0	0.0012073154	0.007	96	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	5166	tags=52%, list=28%, signal=72%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	GO_BP	ERpositive_vs_ERnegative	96	0	0.0012073154	0.0012073154	0.007	5166	tags=52%, list=28%, signal=72%	2.91817925965732	52	28	72	ERpositive_vs_ERnegative::GO_BP::GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS
GOBP_POSITIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION	GO_BP	ERpositive_vs_ERnegative	-0.5240569	-2.2441804	0	0.0012077475	0.008	86	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	5601	tags=62%, list=31%, signal=89%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_POSITIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION	GO_BP	ERpositive_vs_ERnegative	86	0	0.0012077475	0.0012077475	0.008	5601	tags=62%, list=31%, signal=89%	2.91802385281667	62	31	89	ERpositive_vs_ERnegative::GO_BP::GOBP_POSITIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION
GOBP_CHROMOSOME_SEGREGATION	GO_BP	ERpositive_vs_ERnegative	-0.42222893	-2.239846	0	0.0012101223	0.01	372	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3062	tags=34%, list=17%, signal=40%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_CHROMOSOME_SEGREGATION	GOBP_CHROMOSOME_SEGREGATION	GO_BP	ERpositive_vs_ERnegative	372	0	0.0012101223	0.0012101223	0.01	3062	tags=34%, list=17%, signal=40%	2.91717073585622	34	17	40	ERpositive_vs_ERnegative::GO_BP::GOBP_CHROMOSOME_SEGREGATION
